,Unnamed: 0.1,Unnamed: 0,CustomerId,Gender,Age,PostalCode,MinTrxValue,MaxTrxValue,TotalTrxValue,Cash,CreditCard,Cheque,SinceLastTrx,Churn,SqrtTotal,SqrtMax,SqrtMin
0,0,0,629,male,51.0,7,0.38,398.03,409.52,0,1,0,628.0,no,20.236600505025542,19.950689211152582,0.6164414002968976
1,1,1,724,female,77.0,3,1.11,36.54,46.37,1,1,0,1149.0,yes,6.809552114493287,6.044832503882965,1.0535653752852738
2,2,2,221,male,34.0,5,702.57,702.57,702.57,1,0,0,822.0,no,26.506037048189608,26.506037048189608,26.506037048189608
3,3,3,591,female,75.0,9,0.01,94.57,220.17,1,0,1,237.0,yes,14.838126566382968,9.724710792614863,0.1
4,4,4,134,female,55.0,6,171.35,320.23,491.58,0,1,0,1078.0,no,22.171603460282252,17.894971360692367,13.090072574283154
5,5,5,173,male,51.0,6,57.2,57.2,57.2,0,1,0,780.0,no,7.563068160475615,7.563068160475615,7.563068160475615
6,6,6,803,male,41.0,6,0.4,564.26,600.54,0,1,0,588.0,no,24.50591765268136,23.754157530840786,0.6324555320336759
7,7,7,725,male,79.0,5,5.78,142.0,648.15,0,1,1,1044.0,no,25.458790230488173,11.916375287812984,2.4041630560342617
8,8,8,355,male,43.0,6,408.68,408.68,408.68,0,1,0,604.0,no,20.215835377248204,20.215835377248204,20.215835377248204
9,9,9,601,male,32.0,6,2.5,2.5,2.5,1,0,0,249.0,yes,1.5811388300841898,1.5811388300841898,1.5811388300841898
10,10,10,884,female,37.0,6,83.8,630.81,953.06,0,0,1,775.0,yes,30.871669860893498,25.11593119914131,9.154233993076646
11,11,11,859,male,61.0,6,144.55,144.55,144.55,1,0,0,590.0,yes,12.022894826122368,12.022894826122368,12.022894826122368
12,12,12,885,male,44.0,4,3.37,242.46,284.16,0,1,0,577.0,no,16.85704600456438,15.571127126833176,1.835755975068582
13,13,13,952,male,50.0,2,415.9,415.9,415.9,0,1,0,239.0,no,20.393626455341384,20.393626455341384,20.393626455341384
14,14,14,486,male,21.0,2,12.53,453.3,595.42,1,0,1,835.0,no,24.40122947722102,21.290843102141352,3.5397740040855714
15,15,15,433,male,78.0,7,8.07,185.4,309.66,0,1,0,896.0,yes,17.597158861588994,13.61616686149226,2.8407745422683583
16,16,16,943,female,28.0,3,2.81,72.1,126.81,1,1,0,49.0,yes,11.260994627474076,8.491171886141512,1.676305461424021
17,17,17,502,female,25.0,8,0.42,96.11,206.85,1,0,0,1190.0,no,14.382280764885659,9.803570778037969,0.648074069840786
18,18,18,743,female,41.0,7,116.95,275.88,392.83,0,1,0,760.0,yes,19.81993945500339,16.609635757595647,10.81434232859308
19,19,19,658,male,23.0,3,1.92,456.74,512.75,1,0,0,471.0,no,22.643983748448505,21.371476317746513,1.3856406460551018
20,20,20,648,male,19.0,4,164.59,590.71,1079.04,1,0,1,494.0,no,32.848744268236494,24.30452632741482,12.82926342390708
21,21,21,88,male,21.0,8,656.99,656.99,656.99,1,0,0,396.0,yes,25.63181616663166,25.63181616663166,25.63181616663166
22,22,22,714,male,48.0,6,71.38,194.97,348.28,1,0,0,679.0,yes,18.662261384944753,13.963165830140383,8.44866853415377
23,23,23,19,male,45.0,3,0.17,78.81,128.91,0,1,1,1119.0,no,11.353853971229329,8.877499647986475,0.41231056256176607
24,24,24,447,female,34.0,5,331.75,331.75,331.75,0,1,0,1170.0,no,18.214005600086985,18.214005600086985,18.214005600086985
25,25,25,455,male,52.0,5,0.13,347.83,416.9,0,1,1,1164.0,yes,20.41812919931696,18.650201071302153,0.36055512754639896
26,26,26,677,male,19.0,4,74.35,244.65,319.0,1,0,0,1167.0,yes,17.86057109949175,15.64129150677782,8.622644605919925
27,27,27,369,female,22.0,5,0.02,124.52,448.2,1,1,0,634.0,no,21.17073451725282,11.158852987650658,0.1414213562373095
28,28,28,280,female,17.0,6,0.18,245.86,252.98,0,0,1,1324.0,yes,15.905345013548118,15.67992346920099,0.4242640687119285
29,29,29,532,female,20.0,4,39.99,128.36,374.01,0,1,0,672.0,no,19.3393381479305,11.329607230614839,6.323764701504951
30,30,30,347,male,27.0,2,1.26,11.82,30.19,0,1,0,991.0,yes,5.494542747126461,3.438022687534217,1.1224972160321824
31,31,31,156,male,27.0,5,123.75,123.75,123.75,0,1,0,851.0,no,11.124297730643494,11.124297730643494,11.124297730643494
32,32,32,820,female,47.0,5,470.62,470.62,470.62,0,1,0,817.0,yes,21.693777909806304,21.693777909806304,21.693777909806304
33,33,33,478,male,56.0,6,2.99,42.75,157.55,1,0,0,1052.0,yes,12.551892287619426,6.5383484153110105,1.7291616465790582
34,34,34,52,male,68.0,9,28.71,182.7,383.3,0,1,0,785.0,no,19.578048932414077,13.516656391282572,5.358171329847526
35,35,35,206,male,42.0,3,8.38,119.66,170.16,1,0,0,1039.0,yes,13.044539087296261,10.93892133621958,2.894822965226026
36,36,36,581,male,59.0,4,368.85,368.85,368.85,0,1,0,668.0,no,19.205467971387733,19.205467971387733,19.205467971387733
37,37,37,298,male,48.0,7,0.01,402.8,693.67,0,1,0,715.0,no,26.337615685555136,20.06987792688336,0.1
38,38,38,149,male,46.0,4,8.02,410.77,563.17,0,1,0,786.0,yes,23.731203087917812,20.267461607216628,2.831960451701259
39,39,39,381,male,26.0,3,556.54,556.54,556.54,0,0,1,755.0,no,23.591100016743603,23.591100016743603,23.591100016743603
40,40,40,16,female,49.0,5,0.01,2.25,2.5,0,1,0,1107.0,yes,1.5811388300841898,1.5,0.1
41,41,41,253,female,18.0,5,0.98,100.58,103.36,0,1,1,416.0,no,10.166612021711067,10.028958071504736,0.9899494936611666
42,42,42,819,female,41.0,6,297.79,297.79,297.79,1,0,0,717.0,yes,17.256592942988487,17.256592942988487,17.256592942988487
43,43,43,222,female,33.0,1,11.27,137.98,149.25,0,1,0,1135.0,yes,12.216791722870616,11.746488837095109,3.357082066318904
44,44,44,807,male,67.0,2,0.01,116.07,145.07,0,1,0,395.0,no,12.044500819876264,10.77357879258327,0.1
45,45,45,243,male,33.0,7,2.43,219.11,351.05,1,1,0,773.0,yes,18.736328348958875,14.802364675956339,1.5588457268119895
46,46,46,989,male,21.0,4,6.75,294.9,552.65,1,1,0,462.0,no,23.508509097771384,17.172652678022693,2.598076211353316
47,47,47,564,male,25.0,4,0.0,1.65,2.49,0,1,0,582.0,no,1.57797338380595,1.284523257866513,0.0
48,48,48,282,male,27.0,5,0.04,403.37,515.8,1,1,1,659.0,no,22.711230702011726,20.084073292039143,0.2
49,49,49,283,male,26.0,4,0.48,214.82,318.98,0,1,1,620.0,no,17.860011198204777,14.656739064334877,0.6928203230275509
50,50,50,439,male,76.0,6,0.42,335.49,423.12,1,1,1,1133.0,yes,20.569880894161734,18.316386106434862,0.648074069840786
51,51,51,346,male,34.0,5,548.68,548.68,548.68,0,1,0,899.0,yes,23.42391939876843,23.42391939876843,23.42391939876843
52,52,52,9,female,70.0,4,319.27,319.27,319.27,0,1,0,1067.0,yes,17.868128049686682,17.868128049686682,17.868128049686682
53,53,53,123,male,53.0,7,0.13,256.76,483.71,0,1,1,963.0,no,21.9934081033386,16.023732399163436,0.36055512754639896
54,54,54,334,male,46.0,8,0.59,182.59,277.89,1,0,1,1346.0,yes,16.670032993368668,13.512586724976089,0.7681145747868608
55,55,55,670,male,62.0,1,23.24,155.85,400.16,0,1,0,597.0,yes,20.00399960007998,12.48398974687179,4.82078831727758
56,56,56,485,male,77.0,3,30.45,78.23,108.68,0,1,0,1261.0,yes,10.42497002393772,8.844772467395643,5.518151864528558
57,57,57,546,male,18.0,6,2.5,2.5,2.5,1,0,0,616.0,no,1.5811388300841898,1.5811388300841898,1.5811388300841898
58,58,58,868,female,44.0,2,0.01,45.12,65.19,0,0,1,449.0,yes,8.07403244977378,6.717142249498666,0.1
59,59,59,316,male,55.0,6,0.01,12.79,18.36,0,1,0,1201.0,no,4.28485705712571,3.576310948449533,0.1
60,60,60,608,male,46.0,3,0.44,282.62,596.19,0,1,0,479.0,no,24.417002273006407,16.811305719663775,0.6633249580710799
61,61,61,351,female,49.0,9,5.65,168.71,174.36,0,1,0,1155.0,yes,13.204544672195253,12.988841364802328,2.3769728648009427
62,62,62,448,female,67.0,5,79.84,315.03,394.87,0,1,0,326.0,yes,19.87133614028005,17.749084483431815,8.935323161475472
63,63,63,727,male,44.0,8,0.01,108.15,202.07,0,1,0,512.0,no,14.215132781652093,10.399519219656263,0.1
64,64,64,294,male,28.0,3,220.1,220.1,220.1,0,1,0,302.0,yes,14.835767590522574,14.835767590522574,14.835767590522574
65,65,65,899,male,38.0,5,56.4,240.54,296.94,0,1,0,577.0,no,17.23194707512764,15.509352017411945,7.5099933422074345
66,66,66,229,female,35.0,5,133.06,133.06,133.06,0,1,0,988.0,yes,11.535163631262455,11.535163631262455,11.535163631262455
67,67,67,871,male,44.0,3,222.45,222.45,222.45,1,0,0,1131.0,yes,14.914757792200314,14.914757792200314,14.914757792200314
68,68,68,267,male,28.0,8,296.11,296.11,296.11,1,0,0,658.0,no,17.207847047204947,17.207847047204947,17.207847047204947
69,69,69,699,male,36.0,6,16.01,79.97,157.54,0,1,0,650.0,no,12.551493934986384,8.942594701763017,4.001249804748512
70,70,70,288,male,40.0,4,425.37,425.37,425.37,0,1,0,965.0,no,20.624499993939246,20.624499993939246,20.624499993939246
71,71,71,913,male,34.0,5,460.14,460.14,460.14,0,1,0,241.0,yes,21.450874108063754,21.450874108063754,21.450874108063754
72,72,72,558,female,31.0,7,1.0,199.37,381.29,0,1,0,922.0,yes,19.526648457940755,14.119844191774922,1.0
73,73,73,237,male,89.0,2,1.04,223.88,606.03,1,0,0,926.0,yes,24.61767657598905,14.962620091414472,1.019803902718557
74,74,74,285,female,54.0,4,0.05,224.42,271.37,0,0,1,1099.0,yes,16.47331174961489,14.980654191322888,0.22360679774997896
75,75,75,528,female,53.0,3,42.71,42.71,42.71,1,0,0,1192.0,yes,6.535288822997803,6.535288822997803,6.535288822997803
76,76,76,161,female,37.0,5,0.19,222.75,413.23,0,1,1,1152.0,yes,20.328059425336203,14.9248115565993,0.43588989435406733
77,77,77,636,male,26.0,2,0.02,1.34,2.5,0,1,0,506.0,no,1.5811388300841898,1.1575836902790226,0.1414213562373095
78,78,78,647,female,17.0,6,92.91,195.0,410.9,0,1,0,251.0,no,20.270668464557353,13.96424004376894,9.638983348880732
79,79,79,309,male,53.0,3,2.5,2.5,2.5,0,1,0,560.0,yes,1.5811388300841898,1.5811388300841898,1.5811388300841898
80,80,80,720,female,20.0,5,0.01,46.25,165.32,1,1,1,860.0,no,12.857682528356344,6.800735254367722,0.1
81,81,81,752,male,45.0,3,0.05,173.12,309.65,0,1,0,424.0,no,17.5968747225182,13.157507362718821,0.22360679774997896
82,82,82,38,female,49.0,6,97.26,190.95,288.21,1,1,0,1315.0,yes,16.976748805351395,13.818465906170626,9.862048468751308
83,83,83,213,female,30.0,4,2.57,2.57,2.57,0,1,0,775.0,no,1.6031219541881396,1.6031219541881396,1.6031219541881396
84,84,84,618,female,32.0,3,4.03,389.69,403.36,0,1,0,888.0,yes,20.08382433701311,19.740567367732872,2.0074859899884734
85,85,85,417,male,75.0,4,722.69,722.69,722.69,1,0,0,1366.0,yes,26.88289418942834,26.88289418942834,26.88289418942834
86,86,86,111,male,18.0,4,1.09,216.14,347.73,1,0,1,568.0,no,18.647519942340857,14.701700581905483,1.044030650891055
87,87,87,353,male,41.0,5,0.63,414.06,645.49,1,1,0,763.0,no,25.40649523251879,20.348464315520225,0.7937253933193772
88,88,88,708,female,76.0,5,0.18,266.95,404.17,1,1,1,1132.0,yes,20.103979705520995,16.33860459158003,0.4242640687119285
89,89,89,403,male,61.0,4,498.51,498.51,498.51,0,1,0,754.0,no,22.327337503607545,22.327337503607545,22.327337503607545
90,90,90,829,female,72.0,4,305.75,305.75,305.75,0,1,0,131.0,yes,17.48570845004571,17.48570845004571,17.48570845004571
91,91,91,290,female,75.0,5,0.05,218.5,363.73,1,0,1,1343.0,no,19.07170679304818,14.781745499094482,0.22360679774997896
92,92,92,922,male,0.0,4,73.21,228.39,421.38,0,1,0,1087.0,yes,20.527542473467204,15.112577543225377,8.556284240252891
93,93,93,232,male,43.0,6,0.04,531.21,609.4,0,1,0,749.0,no,24.686028437154487,23.04799340506674,0.2
94,94,94,954,female,25.0,4,49.64,123.79,173.43,0,1,0,726.0,no,13.16928244058878,11.126095451684746,7.045565981523415
95,95,95,574,female,32.0,5,0.0,125.02,247.12,1,1,1,1193.0,no,15.720050890502868,11.181234278915722,0.0
96,96,96,310,male,46.0,3,0.45,206.6,219.95,0,1,0,599.0,no,14.830711378757258,14.373586887064759,0.6708203932499369
97,97,97,469,female,19.0,4,22.0,142.87,415.87,0,1,0,476.0,no,20.39289091816067,11.952823934116992,4.69041575982343
98,98,98,366,male,39.0,4,0.09,147.53,381.7,1,1,1,580.0,no,19.53714411064217,12.146192819151192,0.3
99,99,99,665,female,51.0,3,0.11,60.87,70.56,1,0,1,1095.0,yes,8.4,7.801922839915811,0.33166247903553997
100,100,100,176,male,51.0,6,2.22,232.96,362.51,1,0,0,1382.0,yes,19.03969537571439,15.26302722267113,1.489966442575134
101,101,101,928,female,24.0,4,233.95,233.95,233.95,1,0,0,766.0,yes,15.295424152340464,15.295424152340464,15.295424152340464
102,102,102,459,female,66.0,7,45.22,104.03,199.77,1,1,1,1180.0,yes,14.134001556530267,10.199509792141974,6.7245817713817715
103,103,103,897,male,41.0,5,62.85,170.0,377.19,0,1,0,452.0,yes,19.42137997156742,13.038404810405298,7.927799190191437
104,104,104,79,female,27.0,8,39.85,82.18,168.27,0,1,0,523.0,no,12.971892691508051,9.065318527222306,6.312685640834652
105,105,105,666,female,48.0,3,93.22,167.09,538.58,0,1,0,1109.0,no,23.20732642938432,12.926329718833571,9.655050491841045
106,106,106,110,male,26.0,7,1.56,99.3,352.26,1,1,0,783.0,no,18.768590783540464,9.964938534682489,1.2489995996796797
107,107,107,460,female,54.0,5,28.49,139.99,268.69,0,1,0,1246.0,yes,16.391766225761028,11.831736981525578,5.337602458033007
108,108,108,957,male,49.0,5,12.73,205.24,616.3,1,1,0,401.0,no,24.825390228554312,14.326199775236978,3.5679125549822546
109,109,109,328,female,45.0,5,6.77,157.25,206.01,0,1,0,812.0,yes,14.353048456686823,12.539936203984453,2.6019223662515376
110,110,110,507,female,52.0,3,0.28,170.34,172.46,1,0,1,1357.0,yes,13.132402674301455,13.051436702524363,0.5291502622129182
111,111,111,476,male,46.0,4,9.62,451.67,572.48,0,1,0,482.0,no,23.92655428598109,21.252529261243236,3.1016124838541645
112,112,112,579,male,51.0,4,323.81,323.81,323.81,1,0,0,816.0,yes,17.994721448246985,17.994721448246985,17.994721448246985
113,113,113,159,female,29.0,6,123.45,253.37,376.82,0,1,0,822.0,no,19.41185204971437,15.917600321656527,11.110805551354051
114,114,114,797,female,66.0,8,1.73,454.97,549.08,0,1,0,593.0,yes,23.432456123932038,21.330025785263366,1.3152946437965904
115,115,115,475,female,36.0,5,3.66,62.01,101.66,1,1,0,92.0,yes,10.08265837961398,7.874642849044013,1.9131126469708992
116,116,116,539,male,41.0,6,0.25,627.07,641.66,0,1,1,674.0,no,25.331008665270318,25.041365777449123,0.5
117,117,117,937,male,42.0,5,6.52,182.91,473.8,0,1,0,340.0,no,21.766947420343534,13.524422353653408,2.553429066960741
118,118,118,78,female,86.0,5,6.04,220.72,226.76,0,1,0,1114.0,yes,15.058552387264852,14.856648343418511,2.4576411454889016
119,119,119,225,male,79.0,6,0.01,444.01,610.09,1,1,1,1115.0,no,24.7,21.07154479386834,0.1
120,120,120,582,male,34.0,6,0.45,161.66,164.44,1,1,0,538.0,no,12.823416081528354,12.714558584551805,0.6708203932499369
121,121,121,651,female,57.0,5,163.94,227.25,391.19,0,1,0,1032.0,yes,19.778523706283035,15.074813431681335,12.803905654135383
122,122,122,758,male,24.0,6,157.73,157.73,157.73,0,1,0,466.0,no,12.559060474414476,12.559060474414476,12.559060474414476
123,123,123,616,male,28.0,4,59.17,286.71,599.01,1,1,0,289.0,no,24.474680794649803,16.932513103494117,7.692203845452875
124,124,124,867,female,86.0,4,2.21,232.4,437.29,0,1,0,956.0,yes,20.91148010065285,15.244671200127604,1.4866068747318506
125,125,125,320,male,64.0,7,0.03,81.17,183.68,1,1,1,993.0,yes,13.552859476877932,9.009439494219382,0.17320508075688773
126,126,126,562,male,17.0,8,0.0,450.55,811.37,1,1,0,399.0,no,28.484557219658516,21.226163101229577,0.0
127,127,127,18,male,45.0,5,7.82,250.72,435.45,0,1,0,383.0,no,20.867438750359373,15.83414033031159,2.7964262908219126
128,128,128,586,male,43.0,7,0.96,180.05,318.27,1,0,0,471.0,yes,17.840123317959435,13.418271125595876,0.9797958971132712
129,129,129,910,male,43.0,8,1.08,370.36,682.0,0,1,0,542.0,no,26.115129714401192,19.244739540975868,1.0392304845413265
130,130,130,93,female,67.0,6,0.47,144.58,242.85,0,1,0,191.0,yes,15.583645273170202,12.024142381059866,0.6855654600401044
131,131,131,776,male,52.0,6,680.91,680.91,680.91,0,1,0,864.0,no,26.09425224067553,26.09425224067553,26.09425224067553
132,132,132,102,male,71.0,2,15.67,410.47,696.8,0,0,1,1095.0,yes,26.39696952303427,20.260059229923293,3.9585350825778973
133,133,133,688,female,46.0,8,0.01,51.63,75.77,0,1,1,1231.0,no,8.704596486914255,7.185401867675878,0.1
134,134,134,155,male,30.0,7,328.96,328.96,328.96,1,0,0,821.0,no,18.137254478007414,18.137254478007414,18.137254478007414
135,135,135,642,female,27.0,4,435.37,435.37,435.37,1,0,0,324.0,yes,20.865521800328885,20.865521800328885,20.865521800328885
136,136,136,571,male,34.0,4,0.06,24.78,25.19,0,1,0,544.0,yes,5.018964036531842,4.9779513858614575,0.2449489742783178
137,137,137,10,male,36.0,3,0.05,84.03,112.45,0,1,0,318.0,no,10.604244433244643,9.166787877986486,0.22360679774997896
138,138,138,999,male,18.0,6,2.4,6.62,12.55,0,1,0,342.0,no,3.5425979167836705,2.5729360660537215,1.5491933384829668
139,139,139,141,female,53.0,4,195.96,195.96,195.96,1,0,0,1283.0,yes,13.998571355677694,13.998571355677694,13.998571355677694
140,140,140,817,female,90.0,6,3.22,244.37,281.84,1,1,0,764.0,no,16.788091017146648,15.6323382767902,1.794435844492636
141,141,141,886,male,51.0,5,49.05,72.3,121.35,0,1,0,526.0,no,11.015897603009932,8.502940667792526,7.003570517957251
142,142,142,452,male,54.0,1,182.82,664.66,1103.65,0,1,1,143.0,no,33.221228153095126,25.781000756370958,13.521094630243514
143,143,143,749,female,17.0,4,592.76,592.76,592.76,0,1,0,844.0,no,24.346663015698887,24.346663015698887,24.346663015698887
144,144,144,951,male,42.0,4,175.61,463.94,639.55,1,0,0,580.0,yes,25.28932581149604,21.539266468475663,13.251792331605563
145,145,145,823,male,42.0,4,3.12,275.68,376.63,1,0,0,1048.0,no,19.40695751528302,16.603614064413808,1.7663521732655694
146,146,146,555,male,57.0,2,0.01,391.97,518.32,1,0,0,949.0,yes,22.766642264506203,19.798232244319188,0.1
147,147,147,212,male,17.0,5,1.54,73.3,165.84,0,0,1,965.0,no,12.877888025604198,8.561541917201597,1.2409673645990857
148,148,148,175,female,85.0,5,2.14,261.12,308.72,1,0,0,1357.0,yes,17.57042970447792,16.159207901379325,1.4628738838327795
149,149,149,219,male,20.0,4,15.76,274.97,515.4,1,1,0,719.0,no,22.702422778197043,16.582219393072812,3.9698866482558417
150,150,150,635,male,54.0,8,48.26,72.31,120.57,1,0,0,992.0,yes,10.980437149767763,8.503528679318956,6.9469417731833625
151,151,151,603,male,18.0,5,55.31,177.81,295.75,1,1,0,997.0,yes,17.19738352191984,13.334541611919024,7.437069315261221
152,152,152,878,male,56.0,4,0.0,85.89,147.29,1,1,0,448.0,no,12.136309158883519,9.267685795278128,0.0
